"","title","cluster","subcluster","item","amount"
"1","Table_TypeBor_GBV","corporate","0-15k","n",37
"2","Table_TypeBor_GBV","corporate","0-15k","n.loans",50
"3","Table_TypeBor_GBV","corporate","0-15k","gbv.original",216954.08
"4","Table_TypeBor_GBV","corporate","0-15k","gbv.residual",193534.66
"5","Table_TypeBor_GBV","corporate","0-15k","principal",145150.995
"6","Table_TypeBor_GBV","corporate","15-30k","n",26
"7","Table_TypeBor_GBV","corporate","15-30k","n.loans",46
"8","Table_TypeBor_GBV","corporate","15-30k","gbv.original",569108.12
"9","Table_TypeBor_GBV","corporate","15-30k","gbv.residual",612076.02
"10","Table_TypeBor_GBV","corporate","15-30k","principal",459057.015
"11","Table_TypeBor_GBV","corporate","30-50k","n",8
"12","Table_TypeBor_GBV","corporate","30-50k","n.loans",16
"13","Table_TypeBor_GBV","corporate","30-50k","gbv.original",282127.1
"14","Table_TypeBor_GBV","corporate","30-50k","gbv.residual",309354.83
"15","Table_TypeBor_GBV","corporate","30-50k","principal",232016.1225
"16","Table_TypeBor_GBV","corporate","50-100k","n",18
"17","Table_TypeBor_GBV","corporate","50-100k","n.loans",39
"18","Table_TypeBor_GBV","corporate","50-100k","gbv.original",1160263.53
"19","Table_TypeBor_GBV","corporate","50-100k","gbv.residual",1305683.31
"20","Table_TypeBor_GBV","corporate","50-100k","principal",979262.4825
"21","Table_TypeBor_GBV","corporate","100-250k","n",24
"22","Table_TypeBor_GBV","corporate","100-250k","n.loans",47
"23","Table_TypeBor_GBV","corporate","100-250k","gbv.original",3719326.49
"24","Table_TypeBor_GBV","corporate","100-250k","gbv.residual",4112395.41
"25","Table_TypeBor_GBV","corporate","100-250k","principal",3084296.5575
"26","Table_TypeBor_GBV","corporate","250-500k","n",1
"27","Table_TypeBor_GBV","corporate","250-500k","n.loans",3
"28","Table_TypeBor_GBV","corporate","250-500k","gbv.original",237123.02
"29","Table_TypeBor_GBV","corporate","250-500k","gbv.residual",255850.6
"30","Table_TypeBor_GBV","corporate","250-500k","principal",191887.95
"31","Table_TypeBor_GBV","individual","0-15k","n",1628
"32","Table_TypeBor_GBV","individual","0-15k","n.loans",2423
"33","Table_TypeBor_GBV","individual","0-15k","gbv.original",8468791.599
"34","Table_TypeBor_GBV","individual","0-15k","gbv.residual",7529441.691
"35","Table_TypeBor_GBV","individual","0-15k","principal",5647081.26825
"36","Table_TypeBor_GBV","individual","15-30k","n",364
"37","Table_TypeBor_GBV","individual","15-30k","n.loans",764
"38","Table_TypeBor_GBV","individual","15-30k","gbv.original",7675501.611
"39","Table_TypeBor_GBV","individual","15-30k","gbv.residual",7689206.631
"40","Table_TypeBor_GBV","individual","15-30k","principal",5766904.97325
"41","Table_TypeBor_GBV","individual","30-50k","n",115
"42","Table_TypeBor_GBV","individual","30-50k","n.loans",272
"43","Table_TypeBor_GBV","individual","30-50k","gbv.original",4397187.981
"44","Table_TypeBor_GBV","individual","30-50k","gbv.residual",4246811.831
"45","Table_TypeBor_GBV","individual","30-50k","principal",3185108.87325
"46","Table_TypeBor_GBV","individual","50-100k","n",74
"47","Table_TypeBor_GBV","individual","50-100k","n.loans",151
"48","Table_TypeBor_GBV","individual","50-100k","gbv.original",5309081.438
"49","Table_TypeBor_GBV","individual","50-100k","gbv.residual",5240476.588
"50","Table_TypeBor_GBV","individual","50-100k","principal",3930357.441
"51","Table_TypeBor_GBV","individual","100-250k","n",115
"52","Table_TypeBor_GBV","individual","100-250k","n.loans",222
"53","Table_TypeBor_GBV","individual","100-250k","gbv.original",18062045.6
"54","Table_TypeBor_GBV","individual","100-250k","gbv.residual",19779536.22
"55","Table_TypeBor_GBV","individual","100-250k","principal",14834652.165
"56","Table_TypeBor_GBV","individual","250-500k","n",20
"57","Table_TypeBor_GBV","individual","250-500k","n.loans",53
"58","Table_TypeBor_GBV","individual","250-500k","gbv.original",4673467.44
"59","Table_TypeBor_GBV","individual","250-500k","gbv.residual",5359169.75
"60","Table_TypeBor_GBV","individual","250-500k","principal",4019377.3125
"61","Table_TypeBor_GBV","individual","500k+","n",1
"62","Table_TypeBor_GBV","individual","500k+","n.loans",2
"63","Table_TypeBor_GBV","individual","500k+","gbv.original",866635.02
"64","Table_TypeBor_GBV","individual","500k+","gbv.residual",958170.37
"65","Table_TypeBor_GBV","individual","500k+","principal",718627.7775
"66","Table_TypeBor_GBV",NA,"0-15k","n",1
"67","Table_TypeBor_GBV",NA,"0-15k","n.loans",1
"68","Table_TypeBor_GBV",NA,"0-15k","gbv.original",7173.39
"69","Table_TypeBor_GBV",NA,"0-15k","gbv.residual",8577.75
"70","Table_TypeBor_GBV",NA,"0-15k","principal",6433.3125
"71","Table_PTF","cosmo","jupiter","n",53
"72","Table_PTF","cosmo","jupiter","n.loans",98
"73","Table_PTF","cosmo","jupiter","gbv.original",1563827.07
"74","Table_PTF","cosmo","jupiter","gbv.residual",1790499.83
"75","Table_PTF","cosmo","jupiter","principal",1342874.8725
"76","Table_PTF","cosmo","mars","n",35
"77","Table_PTF","cosmo","mars","n.loans",70
"78","Table_PTF","cosmo","mars","gbv.original",5119183.87
"79","Table_PTF","cosmo","mars","gbv.residual",5255179.22
"80","Table_PTF","cosmo","mars","principal",3941384.415
"81","Table_PTF","cosmo","venus","n",16
"82","Table_PTF","cosmo","venus","n.loans",17
"83","Table_PTF","cosmo","venus","gbv.original",435432.75
"84","Table_PTF","cosmo","venus","gbv.residual",472741.02
"85","Table_PTF","cosmo","venus","principal",354555.765
"86","Table_PTF","florence","high ticket","n",11
"87","Table_PTF","florence","high ticket","n.loans",21
"88","Table_PTF","florence","high ticket","gbv.original",489500.498
"89","Table_PTF","florence","high ticket","gbv.residual",491499.378
"90","Table_PTF","florence","high ticket","principal",368624.5335
"91","Table_PTF","florence","small ticket","n",241
"92","Table_PTF","florence","small ticket","n.loans",398
"93","Table_PTF","florence","small ticket","gbv.original",2287896.931
"94","Table_PTF","florence","small ticket","gbv.residual",2209391.091
"95","Table_PTF","florence","small ticket","principal",1657043.31825
"96","Table_PTF","solimano","2020","n",7
